title,price,sales,seller_rating,CPU,cores,RAM,size_of_RAM_GB,size_of_HDD_GB,size_of_SSD_GB,Видеопроцессор,Операционная система,Страна производства,Гарантийный срок(мес.)
Системный блок OFFICE 120 WB 0710623 J1800/4Gb/2Tb+SSD120Gb/300W/DOS,10805₽,Купили более 400 раз,0.0,Intel Celeron,2,0,4,,,Intel HD Graphics,3,0,36
Системный блок,32900₽,0,0.0,Intel Core i5,,не заполнено,16,,250.0,не заполнено,3,1,0
Компьютер Hp Prodesk 400 g6 mt,35720₽,0,0.0,,,не заполнено,16,,500.0,не заполнено,3,не указано,0
Офисный Компьютер Robotcomp Казначей V1,39237₽,Купили более 10 раз,4.7,Intel Core i5,6,1,8,,500.0,Intel UHD Graphics 630,2,0,36
Игровой Компьютер Robotcomp М16 2.0 V1,76188₽,Купили более 200 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,2,0,36
Игровой Компьютер Robotcomp M-16 V1,55625₽,Купили более 40 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GTX 1650,2,0,36
Игровой Компьютер Robotcomp Анаконда 2.0 V1,128284₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3070,2,0,36
Игровой Компьютер Robotcomp F22 Raptor V1,48386₽,Купили более 30 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GTX 1650,2,0,36
Офисный Компьютер Robotcomp Босс V1,25393₽,Купили более 10 раз,4.7,Intel Core i3,4,1,8,,500.0,Intel UHD Graphics 630,2,0,36
Игровой Компьютер Robotcomp ТУ 160 V1,93863₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3050,2,0,36
Игровой Компьютер Robotcomp ТУ 160 V3,102703₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp ТУ 160 V2,98470₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp M-16 V2,54943₽,Купили более 10 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp M-16 V3,65926₽,Купили более 20 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp M1620 V2,66234₽,Купили более 20 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой Компьютер Robotcomp M1620 V3,71829₽,Купили более 50 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Офисный Компьютер Robotcomp Казначей V2,44743₽,Купили более 10 раз,4.7,Intel Core i5,6,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Офисный Компьютер Robotcomp Казначей V3,51075₽,Купили более 10 раз,4.7,Intel Core i5,6,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Мощный ПК Robotcomp Анаконда 2.0 V2,135189₽,Купили менее 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3070,0,0,36
Мощный ПК Robotcomp Анаконда 2.0 V3,139743₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3070,0,0,36
Офисный Компьютер Robotcomp Босс V2,30132₽,Купили более 30 раз,4.7,Intel Core i3,4,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Офисный Компьютер Robotcomp Босс V3,34317₽,Купили более 40 раз,4.7,Intel Core i3,4,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Игровой Компьютер Robotcomp F22 Raptor V2,52794₽,Купили более 20 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp F22 Raptor V3,57815₽,Купили менее 5 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp Аллигатор V2,32617₽,Купили более 400 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор V3,34017₽,Купили более 500 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор 3.0 V1,40694₽,Купили более 200 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,AMD Radeon Vega 7,2,0,36
Игровой Компьютер Robotcomp Аллигатор 3.0 V2,40971₽,Купили более 100 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор 3.0 V3,47827₽,Купили более 200 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,AMD Radeon Vega 7,0,0,36
Офисный Компьютер Robotcomp Секретарь V1,21355₽,Купили более 20 раз,4.7,AMD Athlon,2,1,8,,250.0,AMD Radeon Vega 3,2,0,36
Офисный Компьютер Robotcomp Секретарь V2,29482₽,Купили менее 5 раз,4.7,AMD Athlon,2,1,8,,250.0,AMD Radeon Vega 3,0,0,36
Офисный Компьютер Robotcomp Секретарь V3,34788₽,Купили более 10 раз,4.7,AMD Athlon,2,1,8,,250.0,AMD Radeon Vega 3,0,0,36
Игровой Компьютер Robotcomp М16 3.0 V1,72672₽,Купили более 5 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,2,0,36
Игровой Компьютер Robotcomp М16 3.0 V2,76363₽,Купили более 10 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp М16 3.0 V3,76249₽,Купили более 20 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V1,36803₽,Купили более 100 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,2,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V2,36918₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V3,36589₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Анаконда,86946₽,Купили более 10 раз,4.7,Intel Core i5,10,1,16,,500.0,NVIDIA GeForce RTX 3060,2,0,36
Игровой Компьютер Robotcomp Анаконда V2,83120₽,Купили менее 5 раз,4.7,Intel Core i5,10,1,16,,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp Анаконда V3,86141₽,Купили более 30 раз,4.7,Intel Core i5,10,1,16,,500.0,NVIDIA GeForce RTX 3060,0,0,36
Компьютер Robotcomp Проектировщик V1,76942₽,Купили более 10 раз,4.7,Intel Core i7,12,1,16,1000,500.0,NVIDIA GeForce GT 1030,2,0,36
Компьютер Robotcomp Проектировщик V2,83886₽,Купили более 5 раз,4.7,Intel Core i7,12,1,16,1000,500.0,NVIDIA GeForce GT 1030,0,0,36
Компьютер Robotcomp Проектировщик V3,87566₽,Купили более 5 раз,4.7,Intel Core i7,12,1,16,1000,500.0,NVIDIA GeForce GT 1030,0,0,36
Мощный игровой компьютер Robotcomp Борей V3,103062₽,Купили более 40 раз,4.7,Intel Core i7,12,1,16,1000,500.0,NVIDIA GeForce RTX 3060,0,0,36
Мощный игровой компьютер Robotcomp Борей V2,117108₽,Купили более 100 раз,4.7,Intel Core i7,12,1,16,1000,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp ZERO V2,81936₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp ZERO V3,87141₽,Купили более 30 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp КАЛИБР V2,114308₽,Купили более 5 раз,4.7,Intel Core i7,12,1,32,2000,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp КАЛИБР V3,122457₽,Купили более 80 раз,4.7,Intel Core i7,12,1,32,2000,500.0,NVIDIA GeForce RTX 3060,0,0,36
Офисный Компьютер Robotcomp Премьер V2,118271₽,Купили менее 5 раз,4.7,Intel Core i9,16,1,32,1000,1000.0,intel UHD Graphics 750,0,0,36
Офисный Компьютер Robotcomp Премьер V3,124652₽,Купили более 5 раз,4.7,Intel Core i9,16,1,32,1000,1000.0,intel UHD Graphics 750,0,0,36
Игровой Компьютер Robotcomp Симпл V1,28053₽,Купили более 10 раз,4.7,AMD Ryzen 3,2,1,8,,500.0,AMD Radeon Vega 3,2,0,36
Игровой Компьютер Robotcomp Симпл V2,36185₽,Купили менее 5 раз,4.7,AMD Ryzen 3,2,1,8,,500.0,AMD Radeon Vega 3,0,0,36
Игровой Компьютер Robotcomp Симпл V3,32426₽,Купили более 5 раз,4.7,AMD Ryzen 3,2,1,8,,500.0,AMD Radeon Vega 3,0,0,36
Игровой Компьютер Robotcomp ТРИУМФ V2,85204₽,Купили более 40 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp ТРИУМФ V3,78893₽,Купили менее 5 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp Stinger V1,53664₽,Купили более 5 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GT 1030,2,0,36
Игровой Компьютер Robotcomp Stinger V2,53981₽,Купили более 10 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GT 1030,0,0,36
Игровой Компьютер Robotcomp Stinger V3,58584₽,Купили менее 5 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GT 1030,0,0,36
Игровой Компьютер Robotcomp F22 Raptor 2.0 V1,59912₽,Купили более 20 раз,4.7,Intel Core i3,4,1,16,,1000.0,NVIDIA GeForce GTX 1660,2,0,36
Игровой Компьютер Robotcomp F22 Raptor 2.0 V2,65450₽,Купили более 5 раз,4.7,Intel Core i3,4,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой Компьютер Robotcomp F22 Raptor 2.0 V3,70959₽,Купили менее 5 раз,4.7,Intel Core i3,4,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой Компьютер Robotcomp Старт V1,30760₽,Купили более 500 раз,4.7,Intel Core i3,4,1,8,,500.0,NVIDIA GeForce GT 1030,2,0,36
Игровой Компьютер Robotcomp Старт V2,32851₽,Купили более 80 раз,4.7,Intel Core i3,4,1,8,,500.0,NVIDIA GeForce GT 1030,0,0,36
Игровой Компьютер Robotcomp Старт V3,35238₽,Купили более 50 раз,4.7,Intel Core i3,4,1,8,,500.0,NVIDIA GeForce GT 1030,0,0,36
Компьютер,16005₽,Купили менее 5 раз,4.3,Intel Celeron,4,1,6,,120.0,Intel HD Graphics 6000,0,1,6
Игровой компьютер Robotcomp M16 2.0 Magic Red V1 vs RTX 3050,79385₽,0,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,2,0,36
Игровой компьютер Robotcomp M16 2.0 Magic Red V2 vs RTX 3050,85177₽,Купили более 5 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой компьютер Robotcomp M16 2.0 Magic Red V3 vs RTX 3050,89113₽,0,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp М16 2.0 V1,79385₽,Купили более 100 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,2,0,36
Игровой Компьютер Robotcomp M1620 V2,83438₽,Купили более 10 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой Компьютер Robotcomp M1620 V3,66835₽,Купили более 40 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой компьютер Roo24 i3 Balivet,44935₽,Купили более 20 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Roo24 i3 10100F/GT1030,36876₽,Купили более 20 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GT 1030,0,0,36
Игровой Компьютер Robotcomp ТУ 160 V1,93863₽,Купили менее 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3050,2,0,36
Игровой компьютер Roo24 i5 Paton,82273₽,Купили более 20 раз,4.7,Intel Core i5,6,1,16,1000,250.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой компьютер Roo24 i7 HellCat,104840₽,Купили более 10 раз,4.7,Intel Core i7,8,1,16,2000,500.0,NVIDIA GeForce RTX 3060,0,0,36
"Компьютер Raskat (Intel Pentium G6400/4Gb/120Gb SSD/DP,HDMI,LAN/UMA)",36990₽,Купили более 800 раз,0.0,Intel Pentium,2,1,4,,120.0,Intel HD Graphics 610,3,0,36
Игровой компьютер Robotcomp F22 Raptor V1 Plus,50969₽,0,4.7,Intel Core i3,4,1,32,,500.0,NVIDIA GeForce GTX 1650,2,0,36
Игровой компьютер Robotcomp F22 Raptor Plus V2,54440₽,Купили менее 5 раз,4.7,Intel Core i3,4,1,32,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Robotcomp F22 Raptor Plus V3,61890₽,0,4.7,Intel Core i3,4,1,32,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp Аллигатор V1 Plus,32146₽,Купили более 30 раз,4.7,AMD Ryzen 5,6,1,32,,500.0,AMD Radeon Vega 7,2,0,36
Игровой Компьютер Robotcomp Аллигатор V2 Plus,35748₽,Купили более 30 раз,4.7,AMD Ryzen 5,6,1,32,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор V3 Plus,39650₽,Купили более 50 раз,4.7,AMD Ryzen 5,6,1,32,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp M-16 V1 Plus,61533₽,Купили более 40 раз,4.7,Intel Core i5,6,1,32,,500.0,NVIDIA GeForce GTX 1650,2,0,36
Игровой Компьютер Robotcomp M-16 V2 Plus,53684₽,Купили менее 5 раз,4.7,Intel Core i5,6,1,32,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp M-16 V3 Plus,62475₽,Купили менее 5 раз,4.7,Intel Core i5,6,1,32,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V1 Plus,35132₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,32,,500.0,AMD Radeon Vega 7,2,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V2 Plus,37151₽,0,4.7,AMD Ryzen 5,6,1,32,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V3 Plus,39041₽,Купили более 5 раз,4.7,AMD Ryzen 5,6,1,32,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp ТУ 160 V1 Plus,97646₽,Купили менее 5 раз,4.7,Intel Core i5,10,1,32,,1000.0,NVIDIA GeForce RTX 3050,2,0,36
Игровой Компьютер Robotcomp ТУ 160 V2 Plus,103665₽,0,4.7,Intel Core i5,10,1,32,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp ТУ 160 V3 Plus,110184₽,0,4.7,Intel Core i5,10,1,32,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp М16 2.0 V1 Plus,67436₽,Купили более 5 раз,4.7,Intel Core i5,6,1,32,,1000.0,NVIDIA GeForce GTX 1660,2,0,36
Игровой Компьютер Robotcomp Robotcomp M16 2.0 V2 Plus,81682₽,Купили менее 5 раз,4.7,Intel Core i5,6,1,32,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой Компьютер Robotcomp Robotcomp М16 2.0 V3 Plus,87777₽,Купили менее 5 раз,4.7,Intel Core i5,6,1,32,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой Компьютер Robotcomp Старт V1 Plus,33778₽,Купили более 100 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GT 1030,2,0,36
Игровой Компьютер Robotcomp Старт V2 Plus,34125₽,Купили более 5 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GT 1030,0,0,36
Игровой Компьютер Robotcomp Старт V3 Plus,37379₽,Купили более 90 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GT 1030,0,0,36
"Компьютер Raskat Strike 520 (Core i5-10400F, RAM 16GB, SSD 256GB + HDD 1TB, RTX 3080 10GB, 850W, win",149995₽,Купили менее 5 раз,0.0,Intel Core i5,6,1,16,1000,250.0,NVIDIA GeForce RTX 3080,0,0,36
"Компьютер Raskat Standart 510 (Ryzen 5 3600, RAM 8GB, SSD 256GB, GT 730 2GB, 500W, win10Pro)",34794₽,0,0.0,AMD Ryzen 5,6,1,8,,250.0,NVIDIA GeForce GT 730,0,0,36
"Компьютер Raskat Standart 500 (Ryzen 5 5600G, RAM 8GB, SSD 256GB, 450W, win10Pro)",32394₽,Купили менее 5 раз,0.0,AMD Ryzen 5,6,1,8,,250.0,AMD Radeon Vega 8,0,0,36
"Компьютер Raskat Standart 510 (Ryzen 5 3600, RAM 8GB, SSD 120GB + HDD 1TB, GT 730 2GB, 450W, win10Pr",37794₽,0,0.0,AMD Ryzen 5,6,1,8,1000,120.0,NVIDIA GeForce GT 730,0,0,36
"Компьютер Raskat Standart 500 (Ryzen 5 5600G, RAM 16GB, SSD 120GB + HDD 1TB, 450W, noOS)",28494₽,Купили более 5 раз,0.0,AMD Ryzen 5,6,1,16,1000,120.0,AMD Radeon Vega 8,3,0,36
"Компьютер Raskat Strike 520 (Core i5-10400F, RAM 16GB, SSD 256GB + HDD 1TB, RTX 3080 10GB, 850W, noO",140995₽,Купили менее 5 раз,0.0,Intel Core i5,6,1,16,1000,250.0,NVIDIA GeForce RTX 3080,3,0,36
"Компьютер Raskat Standart 510 (Ryzen 5 3600, RAM 16GB, SSD 120GB + HDD 1TB, GT 1030 2GB, 450W, win10",37595₽,Купили более 5 раз,0.0,AMD Ryzen 5,6,1,16,1000,120.0,NVIDIA GeForce GT 1030,0,0,36
"Компьютер Raskat Strike 520 (Core i5-10400, RAM 16GB, SSD 240GB, RTX 3070 8GB, 650W, win10Pro)",133495₽,0,0.0,Intel Core i5,6,1,16,,250.0,NVIDIA GeForce RTX 3070,0,0,36
"Компьютер Raskat Standart 300 (Core i3-10100, RAM 8GB, SSD 120GB, 450W, win10Pro)",24995₽,0,0.0,Intel Core i3,4,1,8,,120.0,Intel HD Graphics 630,3,0,36
"Компьютер Raskat Standart 300 (Core i3-10100, RAM 8GB, SSD 120GB + HDD 1TB, 450W, win10Pro)",27494₽,Купили более 5 раз,0.0,Intel Core i3,4,1,8,1000,120.0,Intel HD Graphics 630,0,0,36
"Компьютер Raskat Strike 520 (Core i5-10400, RAM 16GB, SSD 240GB, RTX 3060 12GB, 650W, win10Pro)",87354₽,Купили более 10 раз,0.0,Intel Core i5,6,1,16,,250.0,NVIDIA GeForce RTX 3060,3,0,36
"Компьютер Raskat Standart 300 (Ryzen 3 3200GE, RAM 8GB, SSD 120GB, 450W, win10Pro)",24495₽,0,0.0,AMD Ryzen 3,4,1,8,,120.0,AMD Radeon Vega 8,0,0,36
"Компьютер Raskat Standart 300 (Ryzen 3 3200GE, RAM 8GB, SSD 256GB, 450W, win10Pro)",24995₽,0,0.0,AMD Ryzen 3,4,1,8,,250.0,AMD Radeon Vega 8,0,0,36
"Компьютер Raskat Strike 520 (Core i5-10400, RAM 16GB, SSD 240GB, RTX 3070 8GB, 650W, noOS)",124194₽,Купили менее 5 раз,0.0,Intel Core i5,6,1,16,,250.0,NVIDIA GeForce RTX 3070,3,0,36
Системный блок,60787₽,0,4.1,Intel,4,не заполнено,4,500,,Intel HD Graphics 630,5,0,12
Игровой Системный блок в сборе с RX 580 на 8GB,36539₽,Купили более 20 раз,4.2,Intel Xeon,6,0,16,,250.0,AMD Radeon RX 580,0,0,24
Компьютер IRU Home 120,11540₽,Купили менее 5 раз,4.4,AMD E1-6010,2,не заполнено,32,,120.0,не заполнено,5,0,36
Компьютер Raskat Standart 500,30585₽,Купили более 5 раз,0.0,Intel Core i5,6,1,16,,250.0,Intel HD Graphics 630,3,0,36
Игровой компьютер Raskat Strike 720,135194₽,Купили менее 5 раз,0.0,Intel Core i7,8,1,16,1000,500.0,NVIDIA GeForce RTX 3070,3,0,36
Игровой компьютер Raskat Strike 520,135194₽,0,0.0,Intel Core i5,6,1,16,,250.0,NVIDIA GeForce RTX 3070,3,0,36
Игровой компьютер Raskat Strike 720,114995₽,Купили менее 5 раз,0.0,AMD Ryzen 7,8,1,16,1000,250.0,NVIDIA GeForce RTX 3060,3,0,36
Игровой компьютер Raskat Strike 720,171594₽,0,0.0,Intel Core i7,8,1,16,2000,500.0,NVIDIA GeForce RTX 3080,3,0,36
Игровой компьютер Raskat Strike 720,161994₽,0,0.0,Intel Core i7,8,1,16,2000,500.0,NVIDIA GeForce RTX 3080,3,0,36
Игровой компьютер Raskat Strike 720,143995₽,0,0.0,Intel Core i7,8,1,16,1000,500.0,NVIDIA GeForce RTX 3070,3,0,36
Игровой компьютер Raskat Strike 320,46794₽,0,0.0,Intel Core i3,4,1,8,,250.0,NVIDIA GeForce GTX 1050,3,0,36
Компьютер Raskat Standart 510,28195₽,Купили менее 5 раз,0.0,AMD Ryzen 5,6,1,8,,250.0,NVIDIA GeForce GT 730,3,0,36
Компьютер Raskat Station 730,52994₽,Купили менее 5 раз,0.0,Intel Core i7,8,1,16,1000,500.0,NVIDIA Quadro T400,3,0,36
Компьютер Raskat Standart 300,25994₽,0,0.0,Intel Core i3,4,1,8,,120.0,Intel HD Graphics 630,3,0,36
Компьютер Raskat Standart 300,27494₽,Купили менее 5 раз,0.0,Intel Core i3,4,1,16,,250.0,Intel HD Graphics 630,3,0,36
Компьютер Raskat Standart 300,24495₽,0,0.0,AMD Ryzen 3,4,1,8,,120.0,AMD Radeon Vega 8,3,0,36
Игровой компьютер Raskat Strike 720,121894₽,0,0.0,Intel Core i7,8,1,16,1000,250.0,NVIDIA GeForce RTX 3060,3,0,36
Игровой компьютер Raskat Strike 720,146995₽,0,0.0,AMD Ryzen 7,8,1,16,1000,500.0,NVIDIA GeForce RTX 3070,3,0,36
Игровой компьютер Raskat Strike 320,37094₽,Купили более 5 раз,0.0,Intel Core i3,4,1,8,,250.0,NVIDIA GeForce GTX 1050,3,0,36
Компьютер Raskat Standart 500,24995₽,Купили более 5 раз,0.0,AMD Ryzen 5,6,1,8,,250.0,AMD Radeon Vega 8,3,0,36
Компьютер Raskat Standart 300,25494₽,0,0.0,AMD Ryzen 3,4,1,8,,250.0,AMD Radeon Vega 8,3,0,36
Игровой компьютер Raskat Strike 720,126494₽,0,0.0,AMD Ryzen 7,8,1,16,1000,250.0,NVIDIA GeForce RTX 3060,3,0,36
Игровой компьютер Raskat Strike 720,164994₽,Купили менее 5 раз,0.0,AMD Ryzen 7,8,1,16,2000,500.0,NVIDIA GeForce RTX 3080,3,0,36
Компьютер Raskat Standart 300,28195₽,0,0.0,Intel Core i3,4,1,8,1000,120.0,Intel HD Graphics 630,3,0,36
Компьютер Raskat Standart 500,32994₽,0,0.0,AMD Ryzen 5,6,1,8,,250.0,AMD Radeon Vega 8,3,0,36
Компьютер Raskat Standart 510,31194₽,Купили менее 5 раз,0.0,AMD Ryzen 5,6,1,16,1000,120.0,NVIDIA GeForce GT 740,3,0,36
Игровой компьютер Raskat Strike 720,111994₽,Купили менее 5 раз,0.0,Intel Core i7,8,1,16,1000,250.0,NVIDIA GeForce RTX 3060,3,0,36
Компьютер Raskat Standart 510,35195₽,0,0.0,AMD Ryzen 5,6,1,8,,250.0,NVIDIA GeForce GT 730,3,0,36
Игровой компьютер Raskat Strike 720,137794₽,0,0.0,AMD Ryzen 7,8,1,16,1000,500.0,NVIDIA GeForce RTX 3070,3,0,36
Компьютер Raskat Standart 500,30993₽,Купили менее 5 раз,0.0,Intel Core i5,6,1,8,1000,120.0,Intel HD Graphics 630,3,0,36
Компьютер Raskat Standart 510,40794₽,0,0.0,AMD Ryzen 5,6,1,16,1000,120.0,NVIDIA GeForce GT 740,3,0,36
Игровой компьютер Raskat Strike 720,175994₽,Купили менее 5 раз,0.0,AMD Ryzen 7,8,1,16,2000,500.0,NVIDIA GeForce RTX 3080,3,0,36
Компьютер Raskat Standart 500,36394₽,0,0.0,AMD Ryzen 5,6,1,16,1000,120.0,AMD Radeon Vega 8,3,0,36
Игровой компьютер Raskat Strike 520,125340₽,0,0.0,Intel Core i5,6,1,16,,250.0,NVIDIA GeForce RTX 3070,3,0,36
Игровой Компьютер Robotcomp Alligator Mini V2,30418₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Alligator Mini V1,29354₽,Купили более 20 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,2,0,36
Игровой Компьютер Robotcomp Alligator Mini V3,34232₽,Купили более 20 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Системный блок,60787₽,0,4.1,Intel,,1,4,,,не заполнено,5,0,12
Системный блок,60787₽,0,4.1,Intel,,1,4,,,не заполнено,5,0,12
Игровой Компьютер Robotcomp Alligator Mini V1 Plus,35086₽,Купили более 5 раз,4.7,AMD Ryzen 5,6,1,32,,500.0,AMD Radeon Vega 7,2,0,36
"Компьютер S500MC-3101050040, Intel Core i3 10105, DDR4 8ГБ",49990₽,Купили более 40 раз,0.0,Intel Core i3,4,1,8,,120.0,не заполнено,3,1,12
Игровой компьютер Roo24 i5 Sherman,53545₽,Купили менее 5 раз,4.7,Intel Core i5,6,1,16,1000,250.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Roo24 i5 Badger,55425₽,Купили более 10 раз,4.7,Intel Core i5,6,1,16,1000,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Roo24 Gaming S4 Plus,50428₽,Купили менее 5 раз,4.7,Intel Core i3,4,1,16,1000,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Roo24 Gaming S4 Plus,49992₽,0,4.7,Intel Core i3,4,1,16,1000,250.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Roo24 Gaming S4 Plus,50369₽,Купили менее 5 раз,4.7,AMD Ryzen 5,6,1,8,1000,250.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Roo24 Gaming S4 Plus,51486₽,Купили более 5 раз,4.7,AMD Ryzen 5,6,1,16,1000,250.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой компьютер Roo24 Gaming S4 Plus,54979₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,32,1000,250.0,NVIDIA GeForce GTX 1650,0,0,36
